feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(8,)",[0.62267074 0.63153231 0.62444453 0.62806031],0.6266769729350319,"('8',)",0.00546671256914084,0.0034103407635904842,0.00196896115788732
"(8, 31)",[0.64954086 0.64522324 0.64531449 0.64865348],0.6471830158899302,"('8', '31')",0.003109721677616205,0.001939961259434254,0.001120037155351812
"(8, 18, 31)",[0.67416718 0.67130431 0.68308649 0.67914442],0.6769255999998907,"('8', '18', '31')",0.007261677163377378,0.004530107140092803,0.0026154585767904255
"(8, 18, 31, 55)",[0.65211344 0.65880585 0.66258517 0.65696481],0.6576173189055996,"('8', '18', '31', '55')",0.006041057213335442,0.0037686385390220106,0.0021758244749827556
"(8, 18, 27, 31, 55)",[0.66710768 0.66879941 0.66907877 0.6641553 ],0.6672852887557451,"('8', '18', '27', '31', '55')",0.003138890411077337,0.001958157811655846,0.0011305429396752712
