feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(8,)",[0.61066138 0.63004348 0.60253406 0.60947858],0.6131793752316885,"('8',)",0.016381753068287173,0.010219553261903703,0.005900261826757821
"(8, 10)",[0.63521473 0.65131078 0.63287877 0.64339828],0.6407006394600842,"('8', '10')",0.011645884772320023,0.007265140624242218,0.00419453089510673
"(8, 10, 20)",[0.65048488 0.66897685 0.66020046 0.65819721],0.6594648474127216,"('8', '10', '20')",0.010550068873200528,0.006581529480818759,0.003799847817430168
"(8, 10, 20, 23)",[0.6273438  0.63745768 0.62027884 0.65614864],0.6353072393096231,"('8', '10', '20', '23')",0.021629224027176753,0.013493122868961148,0.007790258120603414
"(8, 10, 17, 20, 23)",[0.6274116  0.64541703 0.63060822 0.64227084],0.6364269247857564,"('8', '10', '17', '20', '23')",0.012158026221028245,0.007584633708461283,0.004378990313284831
